seq,timestamp,x,y
1,0.29999997,-23.0,2.0
2,0.39999996,-23.0,1.9985146522521973
3,0.49999995,-22.999834060668945,1.9790245294570923
4,0.59999994,-22.999082565307617,1.9490225315093994
5,0.69999993,-22.996374130249023,1.8980741500854492
6,0.79999992,-22.9899959564209,1.8293524980545044
7,0.89999991,-22.981670379638672,1.7457478046417236
8,0.9999999,-22.968791961669922,1.653603434562683
9,1.09999989,-22.949207305908203,1.550377368927002
10,1.19999988,-22.92327117919922,1.4332339763641357
11,1.29999987,-22.889141082763672,1.291733980178833
12,1.3999998599999999,-22.843875885009766,1.1439599990844727
13,1.49999985,-22.798412322998047,1.0072851181030273
14,1.59999984,-22.751686096191406,0.8694748282432556
15,1.6999998299999999,-22.707054138183594,0.7235453128814697
16,1.79999982,-22.669679641723633,0.5939077138900757
17,1.89999981,-22.632970809936523,0.47035545110702515
18,1.9999997999999999,-22.59954071044922,0.3308809697628021
19,2.09999979,-22.578529357910156,0.17479568719863892
20,2.19999978,-22.5709171295166,0.0070885419845581055
21,2.29999977,-22.57010841369629,-0.17120927572250366
22,2.39999976,-22.570470809936523,-0.3705101013183594
23,2.49999975,-22.576656341552734,-0.5817176699638367
24,2.59999974,-22.579864501953125,-0.8007699251174927
25,2.69999973,-22.57329559326172,-1.020714521408081
26,2.7999997199999997,-22.561283111572266,-1.2403969764709473
27,2.89999971,-22.5509090423584,-1.4336025714874268
28,2.9999997,-22.54257583618164,-1.6344778537750244
29,3.09999969,-22.527536392211914,-1.8342965841293335
30,3.19999968,-22.511981964111328,-2.0125904083251953
31,3.29999967,-22.492076873779297,-2.1810529232025146
32,3.3999996599999998,-22.475799560546875,-2.340676784515381
33,3.49999965,-22.468528747558594,-2.5151944160461426
34,3.59999964,-22.464313507080078,-2.698773145675659
35,3.6999996299999998,-22.461109161376953,-2.9034063816070557
36,3.79999962,-22.466501235961914,-3.119014024734497
37,3.89999961,-22.479446411132812,-3.3386549949645996
38,3.9999995999999998,-22.5039119720459,-3.5573947429656982
39,4.09999959,-22.538530349731445,-3.7746663093566895
40,4.19999958,-22.57509994506836,-3.991636276245117
41,4.29999957,-22.601375579833984,-4.210241794586182
42,4.39999956,-22.604164123535156,-4.430550575256348
43,4.49999955,-22.581645965576172,-4.649574279785156
44,4.59999954,-22.54158592224121,-4.865986347198486
45,4.69999953,-22.496437072753906,-5.0813307762146
46,4.79999952,-22.457605361938477,-5.2979021072387695
47,4.89999951,-22.414466857910156,-5.513731002807617
48,4.9999995,-22.352012634277344,-5.725032806396484
49,5.09999949,-22.259363174438477,-5.92528772354126
50,5.19999948,-22.127168655395508,-6.102675437927246
51,5.29999947,-21.95370101928711,-6.240245819091797
52,5.39999946,-21.749662399291992,-6.326844215393066
53,5.49999945,-21.529067993164062,-6.350115776062012
54,5.59999944,-21.31159019470215,-6.307343006134033
55,5.69999943,-21.11241340637207,-6.211904525756836
56,5.79999942,-20.93386459350586,-6.08256721496582
57,5.89999941,-20.77276039123535,-5.9324822425842285
58,5.9999994,-20.63790512084961,-5.79434871673584
59,6.09999939,-20.497655868530273,-5.653116703033447
60,6.19999938,-20.340179443359375,-5.508188247680664
61,6.29999937,-20.178739547729492,-5.35866117477417
62,6.39999936,-20.041648864746094,-5.214042663574219
63,6.49999935,-19.935768127441406,-5.0744242668151855
64,6.59999934,-19.85702896118164,-4.956173419952393
65,6.69999933,-19.78521156311035,-4.846714496612549
66,6.7999993199999995,-19.717323303222656,-4.7499098777771
67,6.89999931,-19.642759323120117,-4.658006191253662
68,6.9999993,-19.551069259643555,-4.567464351654053
69,7.09999929,-19.437963485717773,-4.4694929122924805
70,7.19999928,-19.310070037841797,-4.365711212158203
71,7.29999927,-19.168821334838867,-4.26719856262207
72,7.39999926,-19.00820541381836,-4.1626667976379395
73,7.49999925,-18.836668014526367,-4.044793128967285
74,7.59999924,-18.65755271911621,-3.923656940460205
75,7.6999992299999995,-18.48935890197754,-3.8022568225860596
76,7.79999922,-18.35110092163086,-3.6910626888275146
77,7.89999921,-18.223033905029297,-3.5840790271759033
78,7.9999991999999995,-18.101024627685547,-3.4723634719848633
79,8.09999919,-17.996335983276367,-3.3723108768463135
80,8.19999918,-17.910442352294922,-3.2869057655334473
81,8.29999917,-17.821428298950195,-3.2025301456451416
82,8.39999916,-17.717731475830078,-3.1171014308929443
83,8.49999915,-17.60015869140625,-3.0325825214385986
84,8.59999914,-17.474952697753906,-2.9473071098327637
85,8.69999913,-17.3411808013916,-2.866865396499634
86,8.79999912,-17.205400466918945,-2.78965425491333
87,8.89999911,-17.061010360717773,-2.7136850357055664
88,8.9999991,-16.932876586914062,-2.6516268253326416
89,9.09999909,-16.800926208496094,-2.598388910293579
90,9.19999908,-16.653165817260742,-2.544415235519409
91,9.29999907,-16.48668670654297,-2.494614839553833
92,9.39999906,-16.306371688842773,-2.444223165512085
93,9.49999905,-16.119632720947266,-2.3907580375671387
94,9.59999904,-15.945796966552734,-2.3310534954071045
95,9.69999903,-15.809748649597168,-2.2734122276306152
96,9.79999902,-15.678163528442383,-2.2156424522399902
97,9.89999901,-15.541295051574707,-2.1622400283813477
98,9.999999,-15.389580726623535,-2.120269536972046
99,10.09999899,-15.223517417907715,-2.1003589630126953
100,10.19999898,-15.03860092163086,-2.0968539714813232
101,10.29999897,-14.837249755859375,-2.099148988723755
102,10.39999896,-14.621447563171387,-2.0947353839874268
103,10.49999895,-14.429265975952148,-2.074537992477417
104,10.59999894,-14.257529258728027,-2.0400595664978027
105,10.69999893,-14.113899230957031,-2.0041115283966064
106,10.79999892,-13.98157787322998,-1.9724429845809937
107,10.89999891,-13.85046100616455,-1.949413776397705
108,10.9999989,-13.735101699829102,-1.93315851688385
109,11.09999889,-13.598565101623535,-1.9110158681869507
110,11.19999888,-13.480566024780273,-1.8849858045578003
111,11.29999887,-13.367584228515625,-1.8582639694213867
112,11.39999886,-13.243886947631836,-1.833006501197815
113,11.49999885,-13.13597583770752,-1.8197389841079712
114,11.59999884,-13.01982593536377,-1.8241651058197021
115,11.69999883,-12.894974708557129,-1.8443846702575684
116,11.79999882,-12.7520170211792,-1.8795578479766846
117,11.89999881,-12.597332000732422,-1.917179822921753
118,11.9999988,-12.422991752624512,-1.962784767150879
119,12.09999879,-12.231701850891113,-2.0088744163513184
